date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:58:02	123749/123749	---M-Z	200	added ('OK')	text/html	etag:%221e365-61e72f91bbe54-gzip%22	https://techzaa.getappui.com/larkon/admin/index.html	C:/Users/Orange/Desktop/ddddd/techzaa.getappui.com/larkon/admin/index.html	(from )
14:58:03	283/283	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Sep%202024%2011:58:02%20GMT	https://techzaa.getappui.com/robots.txt		(from )
14:58:03	128257/128257	---M-Z	200	added ('OK')	text/css	etag:%221f501-61de730dc2a73-gzip%22	https://techzaa.getappui.com/larkon/admin/assets/css/vendor.min.css	C:/Users/Orange/Desktop/ddddd/techzaa.getappui.com/larkon/admin/assets/css/vendor.min.css	(from https://techzaa.getappui.com/larkon/admin/index.html)
14:58:04	105383/105383	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2219ba7-61de730dd3413%22	https://techzaa.getappui.com/larkon/admin/assets/images/favicon.ico	C:/Users/Orange/Desktop/ddddd/techzaa.getappui.com/larkon/admin/assets/images/favicon.ico	(from https://techzaa.getappui.com/larkon/admin/index.html)
14:58:05	353124/353124	---M-Z	200	added ('OK')	text/css	etag:%2256364-61e72f91b6094-gzip%22	https://techzaa.getappui.com/larkon/admin/assets/css/icons.min.css	C:/Users/Orange/Desktop/ddddd/techzaa.getappui.com/larkon/admin/assets/css/icons.min.css	(from https://techzaa.getappui.com/larkon/admin/index.html)
14:58:05	547806/547806	---M-Z	200	added ('OK')	text/css	etag:%2285bde-61e72f91b50f4-gzip%22	https://techzaa.getappui.com/larkon/admin/assets/css/app.min.css	C:/Users/Orange/Desktop/ddddd/techzaa.getappui.com/larkon/admin/assets/css/app.min.css	(from https://techzaa.getappui.com/larkon/admin/index.html)
14:58:05	1764/1764	---M-Z	200	added ('OK')	text/javascript	etag:%226e4-61de730de4d53-gzip%22	https://techzaa.getappui.com/larkon/admin/assets/js/config.js	C:/Users/Orange/Desktop/ddddd/techzaa.getappui.com/larkon/admin/assets/js/config.js	(from https://techzaa.getappui.com/larkon/admin/index.html)
14:58:05	17336/17336	---M--	200	added ('OK')	image/jpeg	etag:%2243b8-61de730ddef93%22	https://techzaa.getappui.com/larkon/admin/assets/images/users/avatar-1.jpg	C:/Users/Orange/Desktop/ddddd/techzaa.getappui.com/larkon/admin/assets/images/users/avatar-1.jpg	(from https://techzaa.getappui.com/larkon/admin/index.html)
14:58:05	18485/18485	---M--	200	added ('OK')	image/jpeg	etag:%224835-61de730ddef93%22	https://techzaa.getappui.com/larkon/admin/assets/images/users/avatar-3.jpg	C:/Users/Orange/Desktop/ddddd/techzaa.getappui.com/larkon/admin/assets/images/users/avatar-3.jpg	(from https://techzaa.getappui.com/larkon/admin/index.html)
14:58:05	21660/21660	---M--	200	added ('OK')	image/jpeg	etag:%22549c-61de730ddef93%22	https://techzaa.getappui.com/larkon/admin/assets/images/users/avatar-5.jpg	C:/Users/Orange/Desktop/ddddd/techzaa.getappui.com/larkon/admin/assets/images/users/avatar-5.jpg	(from https://techzaa.getappui.com/larkon/admin/index.html)
14:58:06	121558/121558	---M-Z	200	added ('OK')	text/html	etag:%221dad6-61de730e0be53-gzip%22	https://techzaa.getappui.com/larkon/admin/pages-profile.html	C:/Users/Orange/Desktop/ddddd/techzaa.getappui.com/larkon/admin/pages-profile.html	(from https://techzaa.getappui.com/larkon/admin/index.html)
